Lyrics,Song
turn let taste,A Message To The Unknown
boundaries starting fall,A Message To The Unknown
conceiving already started,A Message To The Unknown
kissing caressing indulge,A Message To The Unknown
really wanted,A Message To The Unknown
dont know,A Message To The Unknown
really yeah,A Message To The Unknown
even though dont know,A Message To The Unknown
know sure love,A Message To The Unknown
anything youll ever need,A Message To The Unknown
ill try best give everything,A Message To The Unknown
bridge,A Message To The Unknown
tell nothing,A Message To The Unknown
tell nothing almost nothing,A Message To The Unknown
close eyes take hand,A Message To The Unknown
rise,A Message To The Unknown
well home,A Message To The Unknown
thats father,A Message To The Unknown
pessimism drowning,Carry On
keep screaming youre holding,Carry On
tried hard get,Carry On
think youre better everyone else,Carry On
dont act desperate,Carry On
time get,Carry On
look miserable,Carry On
youre worth time,Carry On
youre full shit,Carry On
dont go running mouth,Carry On
caught lying,Carry On
caught playing fire,Carry On
dont go searching sympathy,Carry On
caught looking,Carry On
youll get nothing,Carry On
reach,Carry On
know someday,Carry On
carry,Carry On
fall,Carry On
fall away,Carry On
ill carry,Carry On
starts inside head,Sakura Blues
let course bones,Sakura Blues
breathe recycled air feel like im alone,Sakura Blues
kill,Sakura Blues
call insincere,Sakura Blues
took worst way,Sakura Blues
im still,Sakura Blues
late,Sakura Blues
grounds breaking,Sakura Blues
cant breathe,Sakura Blues
im underneath,Sakura Blues
go ahead wish hell cause,Sakura Blues
youre one dragged yeah,Sakura Blues
late save today,Sakura Blues
took right one wrong time,Sakura Blues
like dry scrape know never heal,Sakura Blues
give something feel feel,Sakura Blues
let kill,Sakura Blues
still feel bones,Sakura Blues
feel bones,Sakura Blues
im alone,Sakura Blues
find strength,Against the Waves
make youre pulling,Against the Waves
make see,Against the Waves
youre worthless,Against the Waves
recognize lies,Against the Waves
stare death face,Against the Waves
ill stand waves,Against the Waves
talk want,Against the Waves
cant see us top,Against the Waves
never lost way cant break strides,Against the Waves
dont takes,Against the Waves
hold still undefeated,Against the Waves
know hard stay true,Against the Waves
vultures pulling,Against the Waves
theyll find worst,Against the Waves
take know,Against the Waves
give em somewhere go,Against the Waves
wont used refuse,Against the Waves
refuse mislead,Against the Waves
bullshit ive feed,Against the Waves
dont count us push fuels fire,Against the Waves
paid price taking back took away,Against the Waves
nothing last forever,Against the Waves
wont let tell live life,Against the Waves
cant control,Against the Waves
youll never bring,Against the Waves
bring,Against the Waves
long harder know,Dead Air
well remember everything,Dead Air
tough let go,Dead Air
think nights spent alone,Dead Air
remember everything,Dead Air
falling,Dead Air
wont find,Dead Air
cause im already gone,Dead Air
looking whats left hang,Dead Air
go,Dead Air
left cemetery sites,Dead Air
monuments memories left behind,Dead Air
go wrong,Dead Air
save im looking outside,Till the Death of Me
save water fills lungs,Till the Death of Me
save im reaching surface,Till the Death of Me
save choke,Till the Death of Me
take im im ready,Till the Death of Me
dont want live forever,Till the Death of Me
want live,Till the Death of Me
world falls around us,Till the Death of Me
well shining,Till the Death of Me
know sometimes move fast,Till the Death of Me
leave ghosts behind us,Till the Death of Me
theyre front,Till the Death of Me
dont give yet,Till the Death of Me
know wont im hard forget,Till the Death of Me
really want,Till the Death of Me
need believe,Till the Death of Me
struggle need believe,Till the Death of Me
im gone dont cry,Till the Death of Me
spirit live,Till the Death of Me
put faith could one,Till the Death of Me
ill live,Till the Death of Me
still believe,Till the Death of Me
keep memories means,Five Ninety
close,Five Ninety
hard let go,Five Ninety
im coming back im coming back,Five Ninety
reason ive waiting,Five Ninety
said im going quickly,Five Ninety
getting harder keep head,Five Ninety
ive never known answers never,Five Ninety
ill find way ill find way dont forget,Five Ninety
road getting darker darker,Five Ninety
youve dying find inspiration,Five Ninety
dont leave let find way,Five Ninety
dont let go well find way,Five Ninety
ive waiting,Five Ninety
reason reason,Five Ninety
im coming back coming back,Five Ninety
cause one ive waiting,Five Ninety
stage set disillusion begins,Exodus
tell cant believe,Exodus
theyre gon na say want hear,Exodus
dead like rest,Exodus
took shots swallowed bullets,Exodus
worst im dying prove,Exodus
theyll forget everything,Exodus
stop pretending youre like rest,Exodus
im wan na see straight till end,Exodus
lights go know nothing,Exodus
know hold,Exodus
wont fall,Exodus
stage set panics starting grow,Exodus
see terror tomorrow,Exodus
forget everything,Exodus
lives us lives,Exodus
see light eyes see lies,Exodus
lives us inside us,Exodus
inside us,Exodus
watch start different chapter,Promised Ones
welcome fight blood,Promised Ones
one take us,Promised Ones
taste end close blood,Promised Ones
blood hands,Promised Ones
promised ones nothings way,Promised Ones
try theyll never stop us,Promised Ones
tell enemies ready war,Promised Ones
weve well never die,Promised Ones
nowhere go,Promised Ones
weve come far give away,Promised Ones
welcome lives blood,Promised Ones
well brave storm together,Promised Ones
blood hands nothing nothing like us,Promised Ones
well meet front lines nothing lose,Promised Ones
nothing lose,Promised Ones
dont know,Promised Ones
promised ones,Promised Ones
nothings way,Promised Ones
try,Promised Ones
theyll never stop us,Promised Ones
tell enemies,Promised Ones
ready war,Promised Ones
well never die,Promised Ones
father dont cry bad,Departures
im,Departures
everyone else keeps passing,Departures
float place alone,Departures
know doesnt feel like youll recover,Departures
suffering never goes away,Departures
im carry,Departures
use light guide way,Departures
revisiting old familiar place,Departures
see could find trace,Departures
time say goodbye,Departures
least try,Departures
waiting wasting away without,Departures
ill come around give reason,Departures
drifting sinking searching way,Departures
reach pull close,Departures
carry light guide way,Departures
dont cry go sleep,Departures
dry eyes dont wait,Departures
dry eyes dont wait dont wait,Departures
dont cry go sleep dont wait,Departures
found hope misery,Buried in These Walls
sewed eyes shut could see,Buried in These Walls
wont throw away,Buried in These Walls
